id;calories;proteins;fat;carbohydrate;name;image
991;514;1;27,8;647;Pilus ;https://asset.kompas.com/crops/S7g9b7Wq4I4Ut3RoExzI7yd2mL4=/0x0:1000x667/750x500/data/photo/2021/12/10/61b2aa4cbd1f3.jpg
950;940;36;42;104;Opak Singkong ;https://cf.shopee.co.id/file/f10cd2d5ad4812daf630547293706737
838;902;0;100;0;Lemak Babi;https://cms.sehatq.com/public/img/article_img/memasak-dengan-lemak-babi-sehat-atau-tidak-1626927917.jpg
902;902;0;100;0;Minyak Hati Hiu (Eulamia);https://i0.wp.com/bogor-today.com/wp-content/uploads/2022/01/minyak-ikan-hiu.jpeg
903;902;0;100;0;Minyak Ikan;https://cdn0-production-images-kly.akamaized.net/KulMk8pE4MUFW9NwVOhQU_zDI_U=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2753245/original/059475000_1552803824-capsule-1079838_960_720.jpg
904;902;0;100;0;Minyak Kacang Tanah;https://nilaigizi.com/assets/images/produk/produk_1535871426.jpg
907;902;0;100;0;Minyak Kelapa Sawit;https://res.cloudinary.com/dk0z4ums3/image/upload/v1619512031/attached_image/mengenal-manfaat-kelapa-sawit-dan-bahayanya.jpg
908;902;0;100;0;Minyak Wijen;https://imgx.parapuan.co/crop/0x0:0x0/x/photo/2022/03/10/minyak-wijenjpg-20220310033229.jpg
909;884;0;100;0;Minyak Zaitun;https://faktualnews.co/images/2020/07/ilustrasi-minyak-zaitun-2.jpg
905;883;0;99,9;0;Minyak kedelai;https://res.cloudinary.com/dk0z4ums3/image/upload/v1678151337/attached_image/minyak-kedelai-ketahui-6-manfaatnya-untuk-kesehatan.jpg
906;870;1;98;0;Minyak Kelapa;https://res.cloudinary.com/dk0z4ums3/image/upload/v1619511406/attached_image/Manfaat-Minyak-Kelapa-Bagi-Kesehatan-dan-Kecantikan.jpg
654;748;20,8;20,8;124,8;Kacang Telur ;https://img-global.cpcdn.com/recipes/18de1fa4c4094900/400x400cq70/photo.jpg
841;818;1,5;90;0;Lemak Kerbau;https://awsimages.detik.net.id/community/media/visual/2016/07/11/01bf592f-fb72-43f1-a0c5-df9c28e4fd17.jpg?w=851
886;725;0,5;81,6;1,4;Mentega;https://res.cloudinary.com/dk0z4ums3/image/upload/v1643714477/attached_image/waspadai-bahaya-mentega-karena-mengandung-lemak-jenuh.jpg
872;720;0,6;81;0,4;Margarin;https://static.republika.co.id/uploads/images/inpicture_slide/mentega-_181004053127-973.jpg
